Package Name,Package Version,Technology,Technology Version,Github URL
rignore,0.7.6,python,"3.11,3.12",Could not find GitHub URL
rpds-py,2026.5.1,python,"3.11,3.12",https://github.com/crate-py/rpds
safetensors,0.8.0,python,"3.11,3.12",https://github.com/huggingface/safetensors
semantic-version,2.10.0,python,"3.11,3.12",https://github.com/rbarrois/python-semanticversion
sentencepiece,0.2.1+ppc64le2,python,"3.11,3.12",https://github.com/google/sentencepiece
sentry-sdk,3.0.0a7,python,"3.11,3.12",https://github.com/getsentry/sentry-python
setproctitle,1.3.7,python,"3.11,3.12",https://github.com/dvarrazzo/py-setproctitle
setuptools,77.0.3,python,"3.11,3.12",https://github.com/pypa/setuptools
setuptools-rust,1.12.1,python,"3.11,3.12",https://github.com/PyO3/setuptools-rust
setuptools-scm,10.1.2,python,"3.11,3.12",https://github.com/pypa/setuptools-scm
shellingham,1.5.4,python,"3.11,3.12",https://github.com/sarugaku/shellingham
six,1.17.0+ppc64le1,python,"3.11,3.12",https://github.com/benjaminp/six
sniffio,1.3.1+ppc64le1,python,"3.11,3.12",https://github.com/python-trio/sniffio
sse-starlette,3.4.5,python,"3.11,3.12",https://github.com/sysid/sse-starlette
starlette,1.3.1,python,"3.11,3.12",https://github.com/Kludex/starlette
supervisor,4.3.0,python,"3.11,3.12",https://github.com/Supervisor/supervisor
sympy,1.15.0.dev0+ppc64le1,python,"3.11,3.12",https://github.com/sympy/sympy
tiktoken,0.13.0,python,"3.11,3.12",https://github.com/openai/tiktoken
tokenizers,0.23.0rc0,python,"3.11,3.12",https://github.com/huggingface/tokenizers
torch,2.11.0+ppc64le1,python,"3.11,3.12",https://github.com/pytorch/pytorch
torchaudio,N/A,python,"3.11,3.12",https://github.com/pytorch/audio
torchvision,N/A,python,"3.11,3.12",https://github.com/pytorch/vision
tqdm,4.68.3,python,"3.11,3.12",https://github.com/tqdm/tqdm
transformers,5.12.1,python,"3.11,3.12",https://github.com/huggingface/transformers
typer,0.25.1,python,"3.11,3.12",https://github.com/fastapi/typer
typing-extensions,4.15.0,python,"3.11,3.12",https://github.com/python/typing
typing-inspection,0.4.2,python,"3.11,3.12",https://github.com/pydantic/typing-inspection
urllib3,2.7.0,python,"3.11,3.12",https://github.com/urllib3/urllib3
uvicorn,0.49.0,python,"3.11,3.12",https://github.com/Kludex/uvicorn
uvloop,0.22.1+ppc64le1,python,"3.11,3.12",https://github.com/MagicStack/uvloop
vcs-versioning,2.1.2,python,"3.11,3.12",https://github.com/pypa/setuptools-scm
watchfiles,1.2.0,python,"3.11,3.12",https://github.com/samuelcolvin/watchfiles
websockets,16.0,python,"3.11,3.12",https://github.com/python-websockets/websockets
wheel,0.47.0,python,"3.11,3.12",https://github.com/pypa/wheel
xgrammar,0.2.2,python,"3.11,3.12",https://github.com/mlc-ai/xgrammar
